run,gradient_C_per_km,flow_kg_per_s,plant_cost_USD_per_kW,drilling_factor,fixed_charge_rate,productivity_index_kg_s_bar,num_fractures,fracture_height_m,doublets,LCOE_USD_per_MWh
77,56.72002900999617,86.7984575696736,2464.938758785964,1.1906464547347626,0.049617176607760015,11.110741075115385,77,968.4240678772358,4,47.9
78,59.22929908622073,81.8008458901049,2282.0247380371297,1.2017690677337995,0.044664914136612735,12.056043945343394,65,1038.757376164975,5,40.6
79,63.34296793111701,80.58233074370693,2302.523515627123,1.2104651780689866,0.048565870736718184,11.65255345107309,70,1076.5489160680913,4,41.7
80,62.990482051388064,77.2281603970296,2607.8869155525917,1.0805233163327324,0.05279038248624981,8.990518098950062,89,962.1561598936275,5,46.8
81,55.00488305331546,84.35879312129327,2109.638626655592,1.1724502155792287,0.0809749755589163,8.615685374550518,95,984.6574050817613,4,65.5
82,58.58417392723796,85.5621318870729,2722.597184027503,1.2983511924694222,0.061104982577197604,9.784349629749494,87,940.373052825599,4,58.6
83,59.91361122340183,84.65091784879131,2289.3738844889735,1.1427688023482288,0.06537158962526511,7.67383443480392,86,1105.0735312951906,5,51.9
84,58.31839349524884,89.22277161614139,2316.6722577965843,1.2318087123347394,0.04795872315561637,11.815585761139513,61,999.6212617907123,4,43.7
85,66.47862631955923,74.74486834951372,2160.181528131928,1.1840738200402408,0.04808225522800106,13.129313134169609,68,941.7512285660002,5,37.9
86,59.93242121465234,86.40713913958628,2411.8582064080733,1.4025940790493066,0.07976341196725503,10.49679688821425,90,883.0107496210367,5,65.0
87,63.35022414473268,81.2328923581205,2276.0466182519176,1.173944865328953,0.07062740249628147,10.375596328412435,88,1060.4765247306218,4,53.9
88,57.72281922753992,84.52333179479683,2211.633503047135,1.0838499762367793,0.05059937271418414,9.178762976512015,62,1032.1388921834764,4,44.2
89,58.282887386349806,78.32244791598974,2288.8786914382777,1.1831745051439109,0.059922175423326035,8.36758291404053,76,743.5178464362114,5,52.0
90,53.26010528519949,70.19192045367191,2285.4581211339846,1.23410084686313,0.06901246276550377,10.37962706008297,61,876.0035096147047,3,71.6
91,58.94295733251078,85.01528244422995,2219.1202530441974,1.2802413863957938,0.06785002650655332,10.159095510822207,84,920.7053303526029,4,55.6
92,59.43231033958054,81.57263187121073,2214.4612484969966,1.1387458531333365,0.05739139140163346,8.047714619889602,46,954.0989935029194,4,48.1
93,58.35858879970309,77.68946425301264,2310.09970641031,1.3903630549177532,0.07152112555000778,11.016975069513343,41,935.5508000585372,4,63.3
94,63.77798359168955,84.9448080245682,2240.765056591312,1.3714711709536418,0.07107900870314678,11.409391705287966,89,971.8964910174075,4,54.3
95,58.5776265743394,70.65683802304228,2340.108775802939,1.3952118869945258,0.06516495668857716,10.469202242487547,88,809.8358434556892,4,61.7
96,53.2939964657048,83.24263555261322,2126.694809177711,1.292635035950901,0.08297621062404538,11.67837203107042,67,954.931747870944,5,70.6
97,63.46010670875415,90.03102791207418,2291.1302852627555,1.1951053946221406,0.05926440649749898,9.072077840753295,69,871.04814539324,4,46.1
98,60.13799297672672,80.32143952840033,2538.2835645607133,1.38175051497435,0.07378120570125588,11.851697926934431,72,1011.3235823179272,4,65.4
99,61.71276572116052,85.32402678048447,2313.546435243781,1.1129315615195938,0.07329823705879533,11.293124886148256,45,1053.9477789389837,4,55.7
100,60.70633566945028,75.02247987649208,2472.681012485154,1.220814654073389,0.07849245392136035,11.72441705232887,45,786.4819975039964,4,66.6
101,58.76167399553404,83.12616446654974,2305.8307654679065,1.1653033631528693,0.06016359705090522,8.98282284507623,79,945.7743042301117,4,51.4
102,58.6732967728447,77.54154067566361,2735.97715660268,1.1472891965208658,0.04400442453955384,7.243590980574238,47,852.1844271076723,5,46.7
103,62.42721601778746,77.00486674202803,2072.3956270717417,1.0515221849150616,0.06151988910370386,7.706357348606863,47,878.1209487079739,4,46.3
104,64.93997014097145,75.47643025755634,2312.092741112537,1.2445643519914051,0.04819683881680133,9.51692045836202,59,928.2614790230438,5,40.9
105,59.73396835707869,85.57754062559437,2440.245188379029,1.2022129980456688,0.055687756146549014,8.75091307316915,53,751.907179121365,4,50.0
106,61.17861386964453,78.49694644133494,2290.2682419770963,1.2506646982961689,0.04538308300253515,9.074221923449564,40,920.2913062712587,4,41.9
107,65.8045691866834,89.60160293078559,2023.019630840336,1.336949047412445,0.08051193819446863,9.60275214163674,63,896.1796941340953,5,52.8
108,62.829876309743305,78.91485175838969,2274.1145663642174,1.1859974915453186,0.0719496945040006,10.183348815174927,72,1023.8361851800715,5,54.6
109,61.47865747023648,84.22270174707975,2547.2265225140804,1.2719438633967297,0.0631418029748804,7.902219503542314,40,952.8447786236758,6,58.6
110,60.25768716721926,81.59766248472509,2410.77896442611,1.1055300505669743,0.08114363810588641,9.796249703340774,51,798.0413311956111,5,65.2
111,63.660772557759685,78.99458732675039,2167.626135609846,1.3665586326299874,0.05100792339444926,10.596626519688245,63,909.6334252762248,4,42.9
112,54.038607804861066,70.84918609498274,2056.6218865495744,1.3114198876526781,0.04743298046816822,13.492475358898824,49,928.0970073442987,5,48.8
113,58.94110696319971,76.61608783245829,2071.432258736876,1.1509648812047306,0.05466931927774026,9.496389552207656,63,800.8710968898306,5,45.4
114,63.754812552293096,68.0240605470405,2484.9513387277743,1.3013679367803666,0.06412456169839113,7.800121987957188,47,962.1746355780713,4,57.4
115,56.757436366509545,89.72877358696007,2579.9334696133124,1.1394744921280053,0.06097296938439341,8.052002683445984,75,872.4385638463644,4,55.9
116,59.19864608361754,80.01291686236368,2604.981123033841,1.1622843819961945,0.06148587315159032,8.23599041098526,92,820.3984479265672,5,55.5
117,65.7131575118042,71.70210110218153,2232.5933360585177,1.018039060822341,0.04298770612698947,13.244427898426316,67,1042.7414244508072,4,36.6
118,60.929760305554346,74.79473734648329,2226.4322711416617,1.3879891169626752,0.05110578099647223,10.366601997883926,58,1044.3109805148235,5,45.8
119,62.53896536303428,78.0626865196049,2099.457873881107,1.0602503330722317,0.06459595108577454,8.839357529384408,76,794.8541315208457,5,47.1
120,66.52942618439327,74.18622927310669,2403.4493453754712,1.2307649990693539,0.062159491163981756,9.858056544598547,53,1007.2165176137087,4,50.5
121,60.85553354469886,74.74178013728657,2756.4368443377975,1.1491256518733246,0.06053992041930049,10.211948189951057,74,828.2356526906291,4,57.6
122,61.718238171982605,86.11927681029573,2416.4605323922315,1.3594463826803946,0.05864763387802231,9.582148382218653,83,943.2972063306456,4,50.7
123,62.28840412562801,75.96184420578467,2395.989844842266,1.3970990080653147,0.06639158761042242,12.273660739000132,85,812.230784500055,6,55.9
124,62.04754361421288,81.68698553408775,2294.8518683381526,1.2400078986167715,0.07827740383883648,9.399237620947112,73,808.4431027939027,5,59.6
125,58.85799524388509,85.7268655365757,2251.374356706763,1.2736912628456774,0.08426771324779764,10.07761566290996,72,911.6381274532604,5,64.9
126,57.081852317897436,78.38095960700558,2348.031193381494,1.1956392746551219,0.050921313145065865,9.468089836251679,72,1018.1849134922933,4,49.0
127,60.83882972680963,75.51414674645267,2275.587441218118,1.3673865440815864,0.06668422579102377,10.443392598345058,56,895.1612692014676,5,56.2
128,60.050491398000325,81.92700280615082,2372.102187884082,1.167180950065206,0.0687422321135169,10.191345734678857,82,1010.2836864290693,6,54.9
129,58.1478679524627,75.51695412397152,2101.51265348917,1.2879186971377181,0.07138379294994375,10.854957491520517,65,954.1137195788407,3,61.6
130,64.36540650853817,83.23799695437293,2600.784876292161,1.1307407650167243,0.04475979524741445,12.294401431388994,88,907.0749754859146,5,40.3
